iter	Passed	Remaining
186	1929	8387
187	1941	8384
188	1955	8389
189	1964	8374
190	1971	8351
191	1984	8352
192	1997	8352
193	2011	8358
194	2023	8354
195	2034	8344
196	2046	8340
197	2056	8328
198	2063	8306
199	2069	8279
200	2078	8260
201	2085	8237
202	2093	8217
203	2103	8208
204	2110	8184
205	2115	8155
206	2122	8130
207	2132	8120
208	2141	8104
209	2152	8097
210	2159	8076
211	2169	8064
212	2180	8057
213	2191	8049
214	2198	8027
215	2209	8019
216	2216	7997
217	2223	7975
218	2234	7968
219	2242	7951
220	2253	7943
221	2263	7931
222	2273	7922
223	2279	7897
224	2287	7880
225	2298	7872
226	2308	7860
227	2315	7839
228	2322	7819
229	2334	7814
230	2344	7804
231	2354	7793
232	2361	7775
233	2373	7769
234	2380	7750
235	2390	7738
236	2400	7728
237	2409	7715
238	2417	7696
239	2426	7682
240	2433	7664
241	2439	7642
242	2449	7631
243	2457	7614
244	2472	7618
245	2483	7610
246	2493	7601
247	2501	7584
248	2509	7568
249	2521	7565
250	2533	7560
251	2540	7541
252	2552	7535
253	2564	7533
254	2572	7514
255	2584	7511
256	2591	7492
257	2600	7480
258	2608	7463
259	2618	7453
260	2631	7449
261	2642	7443
262	2649	7423
263	2659	7414
264	2666	7397
265	2677	7387
266	2683	7367
267	2692	7353
268	2699	7336
269	2707	7319
270	2720	7318
271	2734	7318
272	2743	7306
273	2751	7290
274	2758	7272
275	2766	7258
276	2773	7238
277	2783	7229
278	2793	7217
279	2801	7204
280	2810	7190
281	2820	7182
282	2828	7166
283	2839	7159
284	2846	7142
285	2853	7123
286	2860	7105
287	2866	7086
288	2873	7068
289	2879	7050
290	2886	7033
291	2895	7019
292	2901	7000
293	2909	6987
294	2922	6983
295	2929	6966
296	2937	6952
297	2946	6940
298	2955	6929
299	2964	6916
300	2974	6907
301	2980	6889
302	2988	6874
303	2999	6868
304	3010	6859
305	3023	6856
306	3038	6857
307	3050	6853
308	3060	6843
309	3070	6835
310	3082	6828
311	3093	6821
312	3108	6823
313	3121	6820
314	3129	6806
315	3137	6790
316	3143	6773
317	3152	6760
318	3160	6746
319	3168	6734
320	3177	6721
321	3186	6709
322	3191	6689
323	3232	6743
324	3241	6733
325	3250	6719
326	3265	6720
327	3279	6719
328	3294	6718
329	3301	6703
330	3309	6689
331	3316	6673
332	3323	6656
333	3331	6643
334	3341	6632
335	3352	6624
336	3362	6615
337	3370	6602
338	3377	6586
339	3386	6574
340	3394	6560
341	3404	6550
342	3411	6534
343	3420	6523
344	3430	6513
345	3441	6505
346	3447	6487
347	3458	6479
348	3468	6469
349	3479	6461
350	3486	6446
351	3501	6446
352	3518	6449
353	3528	6438
354	3535	6423
355	3560	6440
356	3571	6432
357	3578	6417
358	3587	6404
359	3594	6389
360	3602	6377
361	3612	6367
362	3623	6358
363	3631	6345
364	3640	6333
365	3646	6316
366	3653	6301
367	3662	6289
368	3673	6281
369	3682	6270
370	3691	6259
371	3700	6247
372	3708	6233
373	3719	6226
374	3726	6211
375	3737	6202
376	3746	6191
377	3753	6176
378	3763	6166
379	3771	6153
380	3780	6142
381	3789	6130
382	3796	6115
383	3802	6100
384	3811	6088
385	3822	6080
386	3836	6076
387	3844	6064
388	3856	6057
389	3865	6045
390	3872	6031
391	3882	6022
392	3896	6017
393	3904	6005
394	3913	5993
395	3920	5979
396	3926	5963
397	3936	5954
398	3947	5945
399	3956	5935
400	3964	5922
401	3974	5912
402	3983	5900
403	3991	5888
404	3998	5874
405	4009	5865
406	4018	5854
407	4028	5845
408	4046	5846
409	4060	5843
410	4067	5829
411	4077	5819
412	4084	5805
413	4096	5798
414	4104	5786
415	4111	5772
416	4118	5757
417	4123	5741
418	4130	5727
419	4139	5716
420	4148	5705
421	4157	5694
422	4170	5689
423	4179	5677
424	4187	5665
425	4197	5655
426	4215	5656
427	4226	5648
428	4235	5638
429	4251	5635
430	4262	5627
431	4269	5613
432	4279	5604
433	4286	5590
434	4293	5576
435	4301	5564
436	4307	5549
437	4316	5538
438	4327	5530
439	4333	5515
440	4341	5503
441	4347	5488
442	4355	5475
443	4369	5471
444	4380	5463
445	4390	5453
446	4400	5444
447	4410	5434
448	4421	5425
449	4428	5412
450	4437	5402
451	4446	5391
452	4453	5377
453	4466	5371
454	4472	5357
455	4479	5343
456	4486	5330
457	4493	5317
458	4507	5312
459	4523	5310
460	4535	5303
461	4546	5294
462	4554	5282
463	4562	5270
464	4568	5256
465	4578	5247
466	4589	5238
467	4598	5227
468	4609	5218
469	4618	5208
470	4625	5195
471	4636	5186
472	4644	5174
473	4654	5164
474	4666	5157
475	4676	5147
476	4684	5136
477	4695	5127
478	4707	5120
479	4715	5108
480	4725	5099
481	4734	5087
482	4747	5081
483	4759	5073
484	4765	5060
485	4771	5046
486	4777	5032
487	4782	5017
488	4788	5003
489	4797	4993
490	4803	4979
491	4809	4965
492	4816	4953
493	4826	4944
494	4833	4931
495	4842	4920
496	4848	4907
497	4854	4893
498	4866	4885
499	4879	4879
500	4891	4872
501	4901	4862
502	4907	4849
503	4923	4845
504	4931	4833
505	4939	4822
506	4946	4809
507	4952	4796
508	4960	4785
509	4970	4775
510	4979	4764
511	4989	4755
512	4996	4743
513	5006	4733
514	5011	4719
515	5023	4711
516	5034	4703
517	5041	4691
518	5052	4682
519	5059	4670
520	5070	4662
521	5081	4652
522	5088	4641
523	5098	4631
524	5110	4624
525	5119	4613
526	5131	4605
527	5141	4596
528	5148	4584
529	5194	4606
530	5204	4597
531	5213	4586
532	5227	4580
533	5253	4584
534	5262	4573
535	5269	4561
536	5277	4550
537	5292	4544
538	5304	4536
539	5311	4524
540	5320	4514
541	5328	4503
542	5335	4490
543	5348	4483
544	5356	4471
545	5363	4459
546	5371	4448
547	5378	4436
548	5389	4427
549	5400	4418
550	5413	4411
551	5424	4402
552	5433	4392
553	5443	4382
554	5455	4373
555	5465	4364
556	5472	4352
557	5483	4343
558	5495	4335
559	5503	4324
560	5511	4313
561	5522	4304
562	5530	4292
563	5549	4289
564	5560	4281
565	5567	4268
566	5577	4259
567	5583	4246
568	5591	4235
569	5598	4223
570	5609	4214
571	5619	4204
572	5628	4194
573	5639	4185
574	5645	4172
575	5653	4161
576	5659	4149
577	5667	4137
578	5676	4127
579	5685	4116
580	5697	4109
581	5709	4100
582	5718	4090
583	5732	4083
584	5745	4075
585	5756	4067
586	5763	4055
587	5773	4045
588	5779	4032
589	5790	4024
590	5799	4013
591	5808	4003
592	5815	3991
593	5824	3981
594	5832	3970
595	5846	3963
596	5856	3953
597	5865	3943
598	5874	3932
599	5879	3919
600	5886	3908
601	5892	3895
602	5903	3886
603	5911	3875
604	5917	3863
605	5925	3852
606	5931	3840
607	5938	3828
608	5946	3817
609	5954	3806
610	5960	3795
611	5975	3788
612	5983	3777
613	5992	3767
614	6002	3757
615	6015	3749
616	6027	3741
617	6036	3731
618	6045	3720
619	6052	3709
620	6063	3700
621	6074	3691
622	6084	3681
623	6092	3670
624	6105	3663
625	6112	3651
626	6124	3643
627	6133	3633
628	6140	3622
629	6151	3612
630	6161	3603
631	6172	3594
632	6180	3583
633	6185	3571
634	6194	3560
635	6203	3550
636	6209	3538
637	6216	3527
638	6228	3518
639	6240	3510
640	6247	3498
641	6254	3487
642	6262	3477
643	6272	3467
644	6285	3459
645	6298	3451
646	6309	3442
647	6321	3433
648	6330	3423
649	6339	3413
650	6347	3402
651	6352	3390
652	6361	3380
653	6374	3372
654	6386	3363
655	6399	3355
656	6407	3345
657	6417	3335
658	6424	3324
659	6430	3312
660	6437	3301
661	6444	3290
662	6456	3281
663	6465	3271
664	6473	3261
665	6482	3251
666	6488	3239
667	6497	3229
668	6504	3217
669	6513	3207
670	6529	3201
671	6541	3192
672	6552	3183
673	6560	3173
674	6568	3162
675	6579	3153
676	6586	3142
677	6594	3131
678	6600	3120
679	6608	3109
680	6616	3099
681	6626	3089
682	6636	3079
683	6644	3069
684	6654	3059
685	6662	3049
686	6673	3040
687	6682	3030
688	6695	3022
689	6707	3013
690	6717	3003
691	6728	2994
692	6770	2999
693	6802	2999
694	6813	2989
695	6822	2979
696	6834	2970
697	6847	2962
698	6861	2954
699	6869	2944
700	6877	2933
701	6883	2922
702	6895	2913
703	6902	2902
704	6908	2890
705	6917	2880
706	6925	2870
707	6932	2859
708	6949	2852
709	6958	2842
710	6969	2832
711	6975	2821
712	6983	2811
713	6992	2801
714	7000	2790
715	7012	2781
716	7020	2771
717	7027	2760
718	7035	2749
719	7041	2738
720	7049	2728
721	7057	2717
722	7066	2707
723	7079	2698
724	7089	2689
725	7098	2679
726	7107	2668
727	7114	2658
728	7142	2655
729	7149	2644
730	7159	2634
731	7166	2623
732	7173	2612
733	7185	2604
734	7195	2594
735	7204	2584
736	7213	2574
737	7224	2564
738	7241	2557
739	7249	2546
740	7262	2538
741	7272	2528
742	7282	2519
743	7290	2508
744	7298	2497
745	7305	2487
746	7317	2478
747	7330	2469
748	7339	2459
749	7348	2449
750	7359	2440
751	7366	2429
752	7377	2419
753	7385	2409
754	7392	2398
755	7400	2388
756	7409	2378
757	7422	2369
758	7437	2361
759	7445	2351
760	7451	2340
761	7459	2329
762	7466	2319
763	7477	2309
764	7486	2299
765	7494	2289
766	7503	2279
767	7510	2268
768	7516	2258
769	7526	2248
770	7533	2237
771	7541	2227
772	7549	2217
773	7557	2206
774	7564	2196
775	7574	2186
776	7580	2175
777	7591	2166
778	7603	2157
779	7613	2147
780	7624	2138
781	7633	2128
782	7641	2117
783	7650	2107
784	7658	2097
785	7665	2086
786	7676	2077
787	7684	2067
788	7695	2057
789	7701	2047
790	7711	2037
791	7719	2027
792	7730	2018
793	7739	2008
794	7748	1998
795	7756	1987
796	7769	1978
797	7779	1969
798	7786	1958
799	7797	1949
800	7808	1939
801	7816	1929
802	7827	1920
803	7836	1910
804	7844	1900
805	7851	1889
806	7862	1880
807	7876	1871
808	7886	1861
809	7895	1851
810	7908	1843
811	7919	1833
812	7933	1824
813	7945	1815
814	7958	1806
815	7969	1797
816	7976	1786
817	7984	1776
818	7990	1765
819	7997	1755
820	8004	1745
821	8014	1735
822	8024	1725
823	8032	1715
824	8038	1705
825	8048	1695
826	8056	1685
827	8070	1676
828	8085	1667
829	8100	1659
830	8106	1648
831	8116	1638
832	8129	1629
833	8139	1620
834	8148	1610
835	8155	1599
836	8165	1590
837	8177	1580
838	8189	1571
839	8199	1561
840	8210	1552
841	8220	1542
842	8227	1532
843	8235	1522
844	8278	1518
845	8319	1514
846	8329	1504
847	8337	1494
848	8344	1484
849	8363	1475
850	8375	1466
851	8381	1455
852	8392	1446
853	8403	1436
854	8412	1426
855	8422	1416
856	8430	1406
857	8439	1396
858	8449	1386
859	8464	1378
860	8474	1368
861	8485	1358
862	8495	1348
863	8501	1338
864	8510	1328
865	8519	1318
866	8527	1308
867	8535	1298
868	8543	1287
869	8554	1278
870	8564	1268
871	8572	1258
872	8582	1248
873	8606	1240
874	8621	1231
875	8631	1221
876	8639	1211
877	8647	1201
878	8655	1191
879	8666	1181
880	8675	1171
881	8683	1161
882	8690	1151
883	8697	1141
884	8707	1131
885	8714	1121
886	8722	1111
887	8730	1101
888	8737	1090
889	8743	1080
890	8755	1071
891	8761	1060
892	8771	1050
893	8779	1040
894	8787	1030
895	8797	1021
896	8807	1011
897	8822	1002
898	8834	992
899	8839	982
900	8848	972
901	8855	962
902	8868	952
903	8882	943
904	8897	933
905	8906	924
906	8914	914
907	8922	904
908	8933	894
909	8941	884
910	8950	874
911	8957	864
912	8967	854
913	8976	844
914	8984	834
915	8991	824
916	8999	814
917	9009	804
918	9022	795
919	9030	785
920	9037	775
921	9046	765
922	9052	755
923	9060	745
924	9068	735
925	9080	725
926	9086	715
927	9094	705
928	9104	695
929	9118	686
930	9133	676
931	9145	667
932	9157	657
933	9166	647
934	9172	637
935	9179	627
936	9189	617
937	9200	608
938	9206	598
939	9248	590
940	9289	582
941	9297	572
942	9304	562
943	9312	552
944	9320	542
945	9329	532
946	9338	522
947	9347	512
948	9357	502
949	9367	493
950	9378	483
951	9385	473
952	9395	463
953	9401	453
954	9409	443
955	9419	433
956	9429	423
957	9437	413
958	9444	403
959	9451	393
960	9457	383
961	9463	373
962	9470	363
963	9477	353
964	9485	344
965	9496	334
966	9503	324
967	9514	314
968	9528	304
969	9542	295
970	9553	285
971	9560	275
972	9569	265
973	9576	255
974	9586	245
975	9593	235
976	9600	226
977	9608	216
978	9619	206
979	9627	196
980	9636	186
981	9644	176
982	9654	166
983	9662	157
984	9670	147
985	9677	137
986	9701	127
987	9713	117
988	9724	108
989	9730	98
990	9736	88
991	9747	78
992	9757	68
993	9768	58
994	9781	49
995	9793	39
996	9806	29
997	9817	19
998	9826	9
999	9838	0
